alpha coal mu x0 cdf cdfLow cdfHigh
1.85 0.01 244.692 0 0.0146444 0.0144823 0.0148076
1.85 0.01 403.429 0 0.0185983 0.0184128 0.0187874
1.85 0.01 665.142 0 0.0233904 0.0231613 0.0236149
1.85 0.01 1096.63 0 0.0293951 0.0291203 0.0296673
1.85 0.01 1808.04 0 0.0367994 0.0364752 0.0371286
1.85 0.01 2980.96 0 0.0462177 0.0458159 0.046624
1.85 0.01 4914.77 0 0.0577381 0.0572599 0.0582138
1.85 0.01 8103.08 0 0.0719425 0.07136 0.0725234
1.85 0.01 13359.7 0 0.0892876 0.0885679 0.0900059
1.85 0.01 22026.5 0 0.110621 0.109756 0.111461
1.85 0.01 36315.5 0 0.136281 0.135313 0.137295
1.85 0.01 59874.1 0 0.166784 0.165558 0.167953
1.85 0.01 98715.8 0 0.202834 0.20143 0.20424
1.85 0.01 162755 0 0.244178 0.242575 0.245813
1.85 0.01 268337 0 0.29125 0.289368 0.293132
1.85 0.01 442413 0 0.344557 0.342418 0.346681
1.85 0.01 729416 0 0.402279 0.399933 0.40461
1.85 0.01 1.2026e+06 0 0.462329 0.459839 0.464857
1.85 0.1 1 0 0 0 0
1.85 0.1 1.64872 0 0.00552895 0.00531007 0.00574782
1.85 0.1 2.71828 0 0.00944197 0.00914198 0.00972927
1.85 0.1 4.48169 0 0.0148369 0.0144706 0.015221
1.85 0.1 7.38906 0 0.0207776 0.0203467 0.0212242
1.85 0.1 12.1825 0 0.0286037 0.0280845 0.0291244
1.85 0.1 20.0855 0 0.038057 0.0374572 0.0386811
1.85 0.1 33.1155 0 0.049109 0.0483981 0.0498429
1.85 0.1 54.5982 0 0.06311 0.0622803 0.0639148
1.85 0.1 90.0171 0 0.0811607 0.0801747 0.082135
1.85 0.1 148.413 0 0.102242 0.101104 0.103366
1.85 0.1 244.692 0 0.127348 0.12606 0.128635
1.85 0.1 403.429 0 0.15771 0.156242 0.159169
1.85 0.1 665.142 0 0.192409 0.190753 0.19411
1.85 0.1 1096.63 0 0.233103 0.231243 0.235001
1.85 0.1 1808.04 0 0.278941 0.276796 0.281041
1.85 0.1 2980.96 0 0.331827 0.329511 0.334124
1.85 0.1 4914.77 0 0.389202 0.386695 0.391723
1.85 0.1 8103.08 0 0.450154 0.447398 0.452811
1.85 0.1 13359.7 0 0.512741 0.509895 0.515534
1.85 0.1 22026.5 0 0.575254 0.572291 0.578195
1.85 0.1 36315.5 0 0.636509 0.63364 0.639454
1.85 0.1 59874.1 0 0.693872 0.691011 0.696774
1.85 0.1 98715.8 0 0.745013 0.742244 0.747812
1.85 0.1 162755 0 0.788829 0.786161 0.791558
1.85 0.1 268337 0 0.827988 0.825466 0.830446
1.85 0.1 442413 0 0.860596 0.858257 0.862986
1.85 0.1 729416 0 0.888021 0.885857 0.89022
1.85 0.1 1.2026e+06 0 0.910703 0.908743 0.912669
1.85 1 1 0 0 0 0
