alpha distance scale_parameter trial time pos_1 pos_2
1.5 1000 10 37 886543 -26017.3 -26017.3
1.5 1000 10 40 110174 -5564.3 -5564.3
1.5 1000 10 41 813972 12139.6 12139.6
1.5 1000 10 42 470386 49875.2 49875.2
1.5 1000 10 44 4383 -494.957 -494.957
1.5 1000 10 45 282263 -11640.1 -11640.1
1.5 1000 10 46 2252 -1240.42 -1240.42
1.5 1000 10 47 99802 -19574.6 -19574.6
1.5 1000 10 48 33331 -451.623 -451.623
1.5 1000 10 49 104929 9614.8 9614.8
2 1000 10 0 34583 263.046 263.046
2 1000 10 1 35320 15.4676 15.4676
2 1000 10 2 69506 1155.98 1155.98
2 1000 10 3 14076 -575.467 -575.467
2 1000 10 4 36555 -1205.06 -1205.06
2 1000 10 5 32366 -556.535 -556.535
2 1000 10 6 899185 -2570.26 -2570.26
2 1000 10 7 33122 -405.969 -405.969
2 1000 10 9 106292 709.866 709.866
2 1000 10 10 223745 256.357 256.357
2 1000 10 11 135350 -1695.33 -1695.33
2 1000 10 12 255526 718.748 718.748
2 1000 10 14 46674 -1516.48 -1516.48
2 1000 10 15 11088 -50.8077 -50.8077
2 1000 10 19 165605 -93.8303 -93.8303
2 1000 10 21 649435 1521.66 1521.66
2 1000 10 22 9990 236.936 236.936
2 1000 10 23 321333 -4229.34 -4229.34
2 1000 10 24 89987 2576.1 2576.1
2 1000 10 25 27700 -943.64 -943.64
2 1000 10 27 873851 11287.9 11287.9
2 1000 10 29 437629 -2669.23 -2669.23
2 1000 10 30 94443 1650.5 1650.5
2 1000 10 31 928616 1411.37 1411.37
2 1000 10 32 50957 22.5474 22.5474
2 1000 10 33 89001 -2023.39 -2023.39
2 1000 10 34 351370 4921.62 4921.62
2 1000 10 35 136042 1504.15 1504.15
2 1000 10 37 80717 1313.85 1313.85
2 1000 10 38 55780 -61.0156 -61.0156
2 1000 10 39 15263 652.314 652.314
2 1000 10 40 120612 265.139 265.139
2 1000 10 42 270105 3719.8 3719.8
2 1000 10 43 973806 -3181.52 -3181.52
