c alpha coal mu x0 hom homLow homHigh
10.0 1.25 1 0.01 165 4.95054e-05 4.80215e-05 5.07879e-05
10.0 1.25 1 0.1 165 3.98638e-06 3.71987e-06 4.25558e-06
10.0 1.25 1 0.001 198 8.89969e-05 8.67075e-05 9.14401e-05
10.0 1.25 1 0.01 198 3.4406e-05 3.33708e-05 3.54775e-05
10.0 1.25 1 0.1 198 1.85548e-06 1.65036e-06 2.03681e-06
10.0 1.25 1 0.001 237 7.35603e-05 7.17581e-05 7.55917e-05
10.0 1.25 1 0.01 237 2.60134e-05 2.50979e-05 2.68858e-05
10.0 1.25 1 0.1 237 1.3975e-06 1.23365e-06 1.5408e-06
10.0 1.25 1 1 0 0.000220548 0.000220138 0.000220978
10.0 1.25 1 1 15 2.78671e-05 2.77136e-05 2.80145e-05
10.0 1.25 1 1 19 1.81958e-05 1.80823e-05 1.83219e-05
10.0 1.25 1 1 22 1.33893e-05 1.32831e-05 1.34854e-05
10.0 1.25 1 1 26 9.18185e-06 9.09648e-06 9.26301e-06
10.0 1.25 1 1 32 5.38284e-06 5.32022e-06 5.4463e-06
10.0 1.25 1 1 38 3.23501e-06 3.18533e-06 3.28202e-06
10.0 1.25 1 1 46 1.81589e-06 1.78127e-06 1.8512e-06
10.0 1.25 1 1 55 1.08812e-06 1.06082e-06 1.11722e-06
10.0 1.25 1 1 66 6.14569e-07 5.92623e-07 6.34207e-07
10.0 1.25 1 1 80 3.62453e-07 3.46733e-07 3.78116e-07
10.0 1.25 1 1 95 1.85032e-07 1.7394e-07 1.96764e-07
10.0 1.25 1 1 115 1.0019e-07 9.14794e-08 1.08408e-07
10.0 1.25 1 1 137 4.95705e-08 4.39459e-08 5.512e-08
10.0 1.25 1 1 165 3.09457e-08 2.61689e-08 3.61035e-08
10.0 1.25 1 1 198 1.28406e-08 9.97796e-09 1.54759e-08
10.0 1.25 1 1 237 1.16979e-08 8.69006e-09 1.46057e-08
10.0 1.5 1 0.001 0 0.00268599 0.00267294 0.00269782
10.0 1.5 1 0.01 0 0.00237164 0.00236021 0.00238285
10.0 1.5 1 0.1 0 0.00161024 0.00160201 0.00161961
10.0 1.5 1 0.001 15 0.00121262 0.00120387 0.00122173
10.0 1.5 1 0.01 15 0.000929986 0.000922638 0.000936673
10.0 1.5 1 0.1 15 0.000441028 0.00043685 0.000445258
10.0 1.5 1 0.001 19 0.00106915 0.00106115 0.00107643
10.0 1.5 1 0.01 19 0.000795546 0.000789196 0.000802304
10.0 1.5 1 0.1 19 0.000342287 0.000338475 0.00034564
10.0 1.5 1 0.001 22 0.00100665 0.000999093 0.00101474
10.0 1.5 1 0.01 22 0.000727394 0.000721216 0.000733523
10.0 1.5 1 0.1 22 0.000290951 0.000287612 0.000294103
10.0 1.5 1 0.001 26 0.000893254 0.000886079 0.000899787
10.0 1.5 1 0.01 26 0.000623731 0.000618247 0.00062927
10.0 1.5 1 0.1 26 0.000227827 0.000224988 0.000230745
10.0 1.5 1 0.001 32 0.000783403 0.000776506 0.000790194
10.0 1.5 1 0.01 32 0.00052294 0.000517923 0.000528391
10.0 1.5 1 0.1 32 0.000164895 0.000162802 0.000167276
10.0 1.5 1 0.001 38 0.00070313 0.00069666 0.000709038
10.0 1.5 1 0.01 38 0.00044963 0.000444872 0.000454496
10.0 1.5 1 0.1 38 0.000124316 0.000122336 0.000126224
10.0 1.5 1 0.001 46 0.000613094 0.000606893 0.000618424
10.0 1.5 1 0.01 46 0.000369624 0.000365122 0.000373889
10.0 1.5 1 0.1 46 8.68242e-05 8.51864e-05 8.83684e-05
10.0 1.5 1 0.001 55 0.000544838 0.000539422 0.000550309
10.0 1.5 1 0.01 55 0.000304764 0.000301117 0.00030856
10.0 1.5 1 0.1 55 5.80531e-05 5.67881e-05 5.92487e-05
10.0 1.5 1 0.001 66 0.000470289 0.000465368 0.000475795
10.0 1.5 1 0.01 66 0.000246497 0.0002432 0.000249457
10.0 1.5 1 0.1 66 3.80128e-05 3.70706e-05 3.88942e-05
10.0 1.5 1 0.001 80 0.000411281 0.000406742 0.000416108
10.0 1.5 1 0.01 80 0.000197795 0.000194889 0.000200722
10.0 1.5 1 0.1 80 2.33837e-05 2.26122e-05 2.40597e-05
10.0 1.5 1 0.001 95 0.000352402 0.000348182 0.000356464
10.0 1.5 1 0.01 95 0.00015545 0.000153045 0.000157748
10.0 1.5 1 0.1 95 1.49797e-05 1.44182e-05 1.55248e-05
10.0 1.5 1 0.001 115 0.000303754 0.000299499 0.000307916
10.0 1.5 1 0.01 115 0.000117527 0.00011542 0.000119523
10.0 1.5 1 0.1 115 7.85233e-06 7.51422e-06 8.21331e-06
10.0 1.5 1 0.001 137 0.000264083 0.000260575 0.000267731
10.0 1.5 1 0.01 137 9.18245e-05 9.01492e-05 9.35258e-05
10.0 1.5 1 0.1 137 5.11727e-06 4.81681e-06 5.42668e-06
10.0 1.5 1 0.001 165 0.000226617 0.00022345 0.000230093
10.0 1.5 1 0.01 165 6.86235e-05 6.71251e-05 7.00306e-05
10.0 1.5 1 0.1 165 2.55661e-06 2.35708e-06 2.74271e-06
10.0 1.5 1 0.001 198 0.000187221 0.000184284 0.000190509
10.0 1.5 1 0.01 198 4.7127e-05 4.59581e-05 4.82898e-05
10.0 1.5 1 0.1 198 1.26454e-06 1.12263e-06 1.40789e-06
10.0 1.5 1 0.001 237 0.000149674 0.000146969 0.00015243
10.0 1.5 1 0.01 237 3.29081e-05 3.19909e-05 3.38461e-05
10.0 1.5 1 0.1 237 5.75218e-07 5.1139e-07 6.38589e-07
10.0 1.5 1 1 0 0.000214 0.00021358 0.000214417
10.0 1.5 1 1 15 3.23976e-05 3.22495e-05 3.25691e-05
10.0 1.5 1 1 19 2.12058e-05 2.10732e-05 2.13319e-05
10.0 1.5 1 1 22 1.56652e-05 1.55501e-05 1.57715e-05
10.0 1.5 1 1 26 1.04275e-05 1.0332e-05 1.05144e-05
10.0 1.5 1 1 32 5.66383e-06 5.59698e-06 5.7246e-06
10.0 1.5 1 1 38 3.18508e-06 3.13996e-06 3.23324e-06
10.0 1.5 1 1 46 1.65051e-06 1.61792e-06 1.68576e-06
10.0 1.5 1 1 55 8.95495e-07 8.70688e-07 9.19518e-07
10.0 1.5 1 1 66 4.1271e-07 3.97263e-07 4.28823e-07
10.0 1.5 1 1 80 2.20456e-07 2.09297e-07 2.33201e-07
10.0 1.5 1 1 95 1.04626e-07 9.6793e-08 1.12075e-07
10.0 1.5 1 1 115 6.21105e-08 5.62018e-08 6.83267e-08
10.0 1.5 1 1 137 1.84434e-08 1.52607e-08 2.193e-08
10.0 1.5 1 1 165 1.8383e-08 1.50695e-08 2.22302e-08
10.0 1.5 1 1 198 1.06186e-08 7.65425e-09 1.31266e-08
10.0 1.5 1 1 237 2.87252e-09 1.65367e-09 4.0893e-09
10.0 2 1 0.001 0 0.00156334 0.00155447 0.00157254
10.0 2 1 0.01 0 0.000990101 0.000983526 0.000997531
10.0 2 1 0.1 0 0.000431128 0.000426774 0.000435465
10.0 2 1 0.001 15 0.00144134 0.00143237 0.00145019
10.0 2 1 0.01 15 0.000881761 0.00087465 0.000888623
10.0 2 1 0.1 15 0.000358414 0.000354283 0.000362099
10.0 2 1 0.001 19 0.00137644 0.00136749 0.00138492
10.0 2 1 0.01 19 0.000829923 0.000823538 0.000836307
10.0 2 1 0.1 19 0.000319563 0.000316151 0.000322915
10.0 2 1 0.001 22 0.00136225 0.0013537 0.00137039
10.0 2 1 0.01 22 0.000806221 0.000799745 0.000812366
10.0 2 1 0.1 22 0.000298743 0.000295022 0.000301759
10.0 2 1 0.001 26 0.00129459 0.00128589 0.00130277
10.0 2 1 0.01 26 0.000744858 0.000738902 0.00075107
10.0 2 1 0.1 26 0.000259671 0.000256298 0.000262734
10.0 2 1 0.001 32 0.00119903 0.00119083 0.00120707
10.0 2 1 0.01 32 0.000655983 0.000650147 0.000661606
10.0 2 1 0.1 32 0.000204709 0.000202111 0.000207453
10.0 2 1 0.001 38 0.00110871 0.00110154 0.0011168
10.0 2 1 0.01 38 0.000576801 0.000571371 0.000581999
10.0 2 1 0.1 38 0.000159013 0.000156717 0.000161289
10.0 2 1 0.001 46 0.00102693 0.00101877 0.00103413
10.0 2 1 0.01 46 0.000502513 0.000497239 0.00050719
10.0 2 1 0.1 46 0.000115872 0.000113955 0.000117748
10.0 2 1 0.001 55 0.000944456 0.000937769 0.000951259
10.0 2 1 0.01 55 0.000429174 0.000424905 0.000433639
10.0 2 1 0.1 55 7.94751e-05 7.80821e-05 8.08724e-05
10.0 2 1 0.001 66 0.000852191 0.000846118 0.00085897
10.0 2 1 0.01 66 0.000356374 0.000352404 0.000360256
10.0 2 1 0.1 66 5.26203e-05 5.1508e-05 5.36656e-05
10.0 2 1 0.001 80 0.000764443 0.000757789 0.000770581
10.0 2 1 0.01 80 0.000287199 0.000283885 0.000290824
10.0 2 1 0.1 80 2.97473e-05 2.89592e-05 3.04521e-05
10.0 2 1 0.001 95 0.000672573 0.000667085 0.000678746
10.0 2 1 0.01 95 0.00022481 0.000222191 0.000227664
10.0 2 1 0.1 95 1.72097e-05 1.66833e-05 1.76837e-05
10.0 2 1 0.001 115 0.000589827 0.000584951 0.00059548
10.0 2 1 0.01 115 0.000171118 0.000168958 0.000173536
10.0 2 1 0.1 115 8.91355e-06 8.57692e-06 9.23739e-06
10.0 2 1 0.001 137 0.000508575 0.000503479 0.000513291
10.0 2 1 0.01 137 0.000125862 0.000123875 0.000127969
10.0 2 1 0.1 137 3.89597e-06 3.70237e-06 4.07906e-06
10.0 2 1 0.001 165 0.00042845 0.000424258 0.000432975
10.0 2 1 0.01 165 8.74947e-05 8.59071e-05 8.91056e-05
10.0 2 1 0.1 165 1.42103e-06 1.33329e-06 1.50656e-06
10.0 2 1 0.001 198 0.000364132 0.000359885 0.000368174
10.0 2 1 0.01 198 6.06873e-05 5.94718e-05 6.1872e-05
10.0 2 1 0.1 198 5.99732e-07 5.5456e-07 6.51318e-07
10.0 2 1 0.001 237 0.000302347 0.000299013 0.000306145
10.0 2 1 0.01 237 3.79839e-05 3.71334e-05 3.88584e-05
10.0 2 1 0.1 237 1.22614e-07 1.07163e-07 1.38561e-07
10.0 2 1 1 0 3.69252e-05 3.67452e-05 3.71052e-05
10.0 2 1 1 15 2.81284e-05 2.79689e-05 2.82818e-05
10.0 2 1 1 19 2.37057e-05 2.35641e-05 2.38387e-05
10.0 2 1 1 22 2.04522e-05 2.03232e-05 2.05737e-05
10.0 2 1 1 26 1.62934e-05 1.61737e-05 1.64006e-05
10.0 2 1 1 32 1.08706e-05 1.07902e-05 1.09585e-05
10.0 2 1 1 38 6.65521e-06 6.57864e-06 6.72444e-06
10.0 2 1 1 46 3.15269e-06 3.10436e-06 3.19984e-06
10.0 2 1 1 55 1.21584e-06 1.18868e-06 1.24366e-06
10.0 2 1 1 66 3.17628e-07 3.06143e-07 3.28495e-07
10.0 2 1 1 80 6.85269e-08 6.5249e-08 7.17879e-08
10.0 2 1 1 95 1.42142e-08 1.28932e-08 1.54867e-08
10.0 2 1 1 115 1.83961e-09 1.55885e-09 2.13702e-09
10.0 2 1 1 137 1.09065e-10 8.60085e-11 1.35412e-10
